0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
63.05,61.69,56.3,53.9,46.24,45.91,46.01,51.31,66.19,81.03,71.92,58.1,53.14,54.11,50.9,44.14,40.71,34.42,32.03,32.14,33.24,41.62,38.09,40.34,41.87,48.37,45.75,40.35,34.97,32.66,34.44,41.27,56.24,72.98,63.56,54.7,53.27,48.57,44.6,40.92,37.39,36.4,33.01,37.89,52.01,97.14,92.12,82.0,125.09,100.01,127.0,115.37,92.7,85.84,86.62,87.0,140.06,176.16,152.26,74.29,68.5,60.15,76.74,60.09,53.12,47.65,41.4,46.12,71.04,173.69,227.76,219.67,235.54,213.11,169.77,200.0,299.0,85.56,87.21,91.32,141.07,196.15,179.55,86.04,73.74,61.7,60.0,51.57,43.92,42.2,42.36,47.8,61.46,88.36,89.19,90.03,87.88,85.95,78.05,76.7
61.69,56.3,53.9,46.24,45.91,46.01,51.31,66.19,81.03,71.92,58.1,53.14,54.11,50.9,44.14,40.71,34.42,32.03,32.14,33.24,41.62,38.09,40.34,41.87,48.37,45.75,40.35,34.97,32.66,34.44,41.27,56.24,72.98,63.56,54.7,53.27,48.57,44.6,40.92,37.39,36.4,33.01,37.89,52.01,97.14,92.12,82.0,125.09,100.01,127.0,115.37,92.7,85.84,86.62,87.0,140.06,176.16,152.26,74.29,68.5,60.15,76.74,60.09,53.12,47.65,41.4,46.12,71.04,173.69,227.76,219.67,235.54,213.11,169.77,200.0,299.0,85.56,87.21,91.32,141.07,196.15,179.55,86.04,73.74,61.7,60.0,51.57,43.92,42.2,42.36,47.8,61.46,88.36,89.19,90.03,87.88,85.95,78.05,76.7,77.16
56.3,53.9,46.24,45.91,46.01,51.31,66.19,81.03,71.92,58.1,53.14,54.11,50.9,44.14,40.71,34.42,32.03,32.14,33.24,41.62,38.09,40.34,41.87,48.37,45.75,40.35,34.97,32.66,34.44,41.27,56.24,72.98,63.56,54.7,53.27,48.57,44.6,40.92,37.39,36.4,33.01,37.89,52.01,97.14,92.12,82.0,125.09,100.01,127.0,115.37,92.7,85.84,86.62,87.0,140.06,176.16,152.26,74.29,68.5,60.15,76.74,60.09,53.12,47.65,41.4,46.12,71.04,173.69,227.76,219.67,235.54,213.11,169.77,200.0,299.0,85.56,87.21,91.32,141.07,196.15,179.55,86.04,73.74,61.7,60.0,51.57,43.92,42.2,42.36,47.8,61.46,88.36,89.19,90.03,87.88,85.95,78.05,76.7,77.16,81.78
53.9,46.24,45.91,46.01,51.31,66.19,81.03,71.92,58.1,53.14,54.11,50.9,44.14,40.71,34.42,32.03,32.14,33.24,41.62,38.09,40.34,41.87,48.37,45.75,40.35,34.97,32.66,34.44,41.27,56.24,72.98,63.56,54.7,53.27,48.57,44.6,40.92,37.39,36.4,33.01,37.89,52.01,97.14,92.12,82.0,125.09,100.01,127.0,115.37,92.7,85.84,86.62,87.0,140.06,176.16,152.26,74.29,68.5,60.15,76.74,60.09,53.12,47.65,41.4,46.12,71.04,173.69,227.76,219.67,235.54,213.11,169.77,200.0,299.0,85.56,87.21,91.32,141.07,196.15,179.55,86.04,73.74,61.7,60.0,51.57,43.92,42.2,42.36,47.8,61.46,88.36,89.19,90.03,87.88,85.95,78.05,76.7,77.16,81.78,73.82
46.24,45.91,46.01,51.31,66.19,81.03,71.92,58.1,53.14,54.11,50.9,44.14,40.71,34.42,32.03,32.14,33.24,41.62,38.09,40.34,41.87,48.37,45.75,40.35,34.97,32.66,34.44,41.27,56.24,72.98,63.56,54.7,53.27,48.57,44.6,40.92,37.39,36.4,33.01,37.89,52.01,97.14,92.12,82.0,125.09,100.01,127.0,115.37,92.7,85.84,86.62,87.0,140.06,176.16,152.26,74.29,68.5,60.15,76.74,60.09,53.12,47.65,41.4,46.12,71.04,173.69,227.76,219.67,235.54,213.11,169.77,200.0,299.0,85.56,87.21,91.32,141.07,196.15,179.55,86.04,73.74,61.7,60.0,51.57,43.92,42.2,42.36,47.8,61.46,88.36,89.19,90.03,87.88,85.95,78.05,76.7,77.16,81.78,73.82,72.9
45.91,46.01,51.31,66.19,81.03,71.92,58.1,53.14,54.11,50.9,44.14,40.71,34.42,32.03,32.14,33.24,41.62,38.09,40.34,41.87,48.37,45.75,40.35,34.97,32.66,34.44,41.27,56.24,72.98,63.56,54.7,53.27,48.57,44.6,40.92,37.39,36.4,33.01,37.89,52.01,97.14,92.12,82.0,125.09,100.01,127.0,115.37,92.7,85.84,86.62,87.0,140.06,176.16,152.26,74.29,68.5,60.15,76.74,60.09,53.12,47.65,41.4,46.12,71.04,173.69,227.76,219.67,235.54,213.11,169.77,200.0,299.0,85.56,87.21,91.32,141.07,196.15,179.55,86.04,73.74,61.7,60.0,51.57,43.92,42.2,42.36,47.8,61.46,88.36,89.19,90.03,87.88,85.95,78.05,76.7,77.16,81.78,73.82,72.9,106.42
46.01,51.31,66.19,81.03,71.92,58.1,53.14,54.11,50.9,44.14,40.71,34.42,32.03,32.14,33.24,41.62,38.09,40.34,41.87,48.37,45.75,40.35,34.97,32.66,34.44,41.27,56.24,72.98,63.56,54.7,53.27,48.57,44.6,40.92,37.39,36.4,33.01,37.89,52.01,97.14,92.12,82.0,125.09,100.01,127.0,115.37,92.7,85.84,86.62,87.0,140.06,176.16,152.26,74.29,68.5,60.15,76.74,60.09,53.12,47.65,41.4,46.12,71.04,173.69,227.76,219.67,235.54,213.11,169.77,200.0,299.0,85.56,87.21,91.32,141.07,196.15,179.55,86.04,73.74,61.7,60.0,51.57,43.92,42.2,42.36,47.8,61.46,88.36,89.19,90.03,87.88,85.95,78.05,76.7,77.16,81.78,73.82,72.9,106.42,145.06
51.31,66.19,81.03,71.92,58.1,53.14,54.11,50.9,44.14,40.71,34.42,32.03,32.14,33.24,41.62,38.09,40.34,41.87,48.37,45.75,40.35,34.97,32.66,34.44,41.27,56.24,72.98,63.56,54.7,53.27,48.57,44.6,40.92,37.39,36.4,33.01,37.89,52.01,97.14,92.12,82.0,125.09,100.01,127.0,115.37,92.7,85.84,86.62,87.0,140.06,176.16,152.26,74.29,68.5,60.15,76.74,60.09,53.12,47.65,41.4,46.12,71.04,173.69,227.76,219.67,235.54,213.11,169.77,200.0,299.0,85.56,87.21,91.32,141.07,196.15,179.55,86.04,73.74,61.7,60.0,51.57,43.92,42.2,42.36,47.8,61.46,88.36,89.19,90.03,87.88,85.95,78.05,76.7,77.16,81.78,73.82,72.9,106.42,145.06,92.23
66.19,81.03,71.92,58.1,53.14,54.11,50.9,44.14,40.71,34.42,32.03,32.14,33.24,41.62,38.09,40.34,41.87,48.37,45.75,40.35,34.97,32.66,34.44,41.27,56.24,72.98,63.56,54.7,53.27,48.57,44.6,40.92,37.39,36.4,33.01,37.89,52.01,97.14,92.12,82.0,125.09,100.01,127.0,115.37,92.7,85.84,86.62,87.0,140.06,176.16,152.26,74.29,68.5,60.15,76.74,60.09,53.12,47.65,41.4,46.12,71.04,173.69,227.76,219.67,235.54,213.11,169.77,200.0,299.0,85.56,87.21,91.32,141.07,196.15,179.55,86.04,73.74,61.7,60.0,51.57,43.92,42.2,42.36,47.8,61.46,88.36,89.19,90.03,87.88,85.95,78.05,76.7,77.16,81.78,73.82,72.9,106.42,145.06,92.23,72.39
81.03,71.92,58.1,53.14,54.11,50.9,44.14,40.71,34.42,32.03,32.14,33.24,41.62,38.09,40.34,41.87,48.37,45.75,40.35,34.97,32.66,34.44,41.27,56.24,72.98,63.56,54.7,53.27,48.57,44.6,40.92,37.39,36.4,33.01,37.89,52.01,97.14,92.12,82.0,125.09,100.01,127.0,115.37,92.7,85.84,86.62,87.0,140.06,176.16,152.26,74.29,68.5,60.15,76.74,60.09,53.12,47.65,41.4,46.12,71.04,173.69,227.76,219.67,235.54,213.11,169.77,200.0,299.0,85.56,87.21,91.32,141.07,196.15,179.55,86.04,73.74,61.7,60.0,51.57,43.92,42.2,42.36,47.8,61.46,88.36,89.19,90.03,87.88,85.95,78.05,76.7,77.16,81.78,73.82,72.9,106.42,145.06,92.23,72.39,62.58
71.92,58.1,53.14,54.11,50.9,44.14,40.71,34.42,32.03,32.14,33.24,41.62,38.09,40.34,41.87,48.37,45.75,40.35,34.97,32.66,34.44,41.27,56.24,72.98,63.56,54.7,53.27,48.57,44.6,40.92,37.39,36.4,33.01,37.89,52.01,97.14,92.12,82.0,125.09,100.01,127.0,115.37,92.7,85.84,86.62,87.0,140.06,176.16,152.26,74.29,68.5,60.15,76.74,60.09,53.12,47.65,41.4,46.12,71.04,173.69,227.76,219.67,235.54,213.11,169.77,200.0,299.0,85.56,87.21,91.32,141.07,196.15,179.55,86.04,73.74,61.7,60.0,51.57,43.92,42.2,42.36,47.8,61.46,88.36,89.19,90.03,87.88,85.95,78.05,76.7,77.16,81.78,73.82,72.9,106.42,145.06,92.23,72.39,62.58,57.05
58.1,53.14,54.11,50.9,44.14,40.71,34.42,32.03,32.14,33.24,41.62,38.09,40.34,41.87,48.37,45.75,40.35,34.97,32.66,34.44,41.27,56.24,72.98,63.56,54.7,53.27,48.57,44.6,40.92,37.39,36.4,33.01,37.89,52.01,97.14,92.12,82.0,125.09,100.01,127.0,115.37,92.7,85.84,86.62,87.0,140.06,176.16,152.26,74.29,68.5,60.15,76.74,60.09,53.12,47.65,41.4,46.12,71.04,173.69,227.76,219.67,235.54,213.11,169.77,200.0,299.0,85.56,87.21,91.32,141.07,196.15,179.55,86.04,73.74,61.7,60.0,51.57,43.92,42.2,42.36,47.8,61.46,88.36,89.19,90.03,87.88,85.95,78.05,76.7,77.16,81.78,73.82,72.9,106.42,145.06,92.23,72.39,62.58,57.05,52.58
53.14,54.11,50.9,44.14,40.71,34.42,32.03,32.14,33.24,41.62,38.09,40.34,41.87,48.37,45.75,40.35,34.97,32.66,34.44,41.27,56.24,72.98,63.56,54.7,53.27,48.57,44.6,40.92,37.39,36.4,33.01,37.89,52.01,97.14,92.12,82.0,125.09,100.01,127.0,115.37,92.7,85.84,86.62,87.0,140.06,176.16,152.26,74.29,68.5,60.15,76.74,60.09,53.12,47.65,41.4,46.12,71.04,173.69,227.76,219.67,235.54,213.11,169.77,200.0,299.0,85.56,87.21,91.32,141.07,196.15,179.55,86.04,73.74,61.7,60.0,51.57,43.92,42.2,42.36,47.8,61.46,88.36,89.19,90.03,87.88,85.95,78.05,76.7,77.16,81.78,73.82,72.9,106.42,145.06,92.23,72.39,62.58,57.05,52.58,44.86
54.11,50.9,44.14,40.71,34.42,32.03,32.14,33.24,41.62,38.09,40.34,41.87,48.37,45.75,40.35,34.97,32.66,34.44,41.27,56.24,72.98,63.56,54.7,53.27,48.57,44.6,40.92,37.39,36.4,33.01,37.89,52.01,97.14,92.12,82.0,125.09,100.01,127.0,115.37,92.7,85.84,86.62,87.0,140.06,176.16,152.26,74.29,68.5,60.15,76.74,60.09,53.12,47.65,41.4,46.12,71.04,173.69,227.76,219.67,235.54,213.11,169.77,200.0,299.0,85.56,87.21,91.32,141.07,196.15,179.55,86.04,73.74,61.7,60.0,51.57,43.92,42.2,42.36,47.8,61.46,88.36,89.19,90.03,87.88,85.95,78.05,76.7,77.16,81.78,73.82,72.9,106.42,145.06,92.23,72.39,62.58,57.05,52.58,44.86,42.31
50.9,44.14,40.71,34.42,32.03,32.14,33.24,41.62,38.09,40.34,41.87,48.37,45.75,40.35,34.97,32.66,34.44,41.27,56.24,72.98,63.56,54.7,53.27,48.57,44.6,40.92,37.39,36.4,33.01,37.89,52.01,97.14,92.12,82.0,125.09,100.01,127.0,115.37,92.7,85.84,86.62,87.0,140.06,176.16,152.26,74.29,68.5,60.15,76.74,60.09,53.12,47.65,41.4,46.12,71.04,173.69,227.76,219.67,235.54,213.11,169.77,200.0,299.0,85.56,87.21,91.32,141.07,196.15,179.55,86.04,73.74,61.7,60.0,51.57,43.92,42.2,42.36,47.8,61.46,88.36,89.19,90.03,87.88,85.95,78.05,76.7,77.16,81.78,73.82,72.9,106.42,145.06,92.23,72.39,62.58,57.05,52.58,44.86,42.31,39.66
44.14,40.71,34.42,32.03,32.14,33.24,41.62,38.09,40.34,41.87,48.37,45.75,40.35,34.97,32.66,34.44,41.27,56.24,72.98,63.56,54.7,53.27,48.57,44.6,40.92,37.39,36.4,33.01,37.89,52.01,97.14,92.12,82.0,125.09,100.01,127.0,115.37,92.7,85.84,86.62,87.0,140.06,176.16,152.26,74.29,68.5,60.15,76.74,60.09,53.12,47.65,41.4,46.12,71.04,173.69,227.76,219.67,235.54,213.11,169.77,200.0,299.0,85.56,87.21,91.32,141.07,196.15,179.55,86.04,73.74,61.7,60.0,51.57,43.92,42.2,42.36,47.8,61.46,88.36,89.19,90.03,87.88,85.95,78.05,76.7,77.16,81.78,73.82,72.9,106.42,145.06,92.23,72.39,62.58,57.05,52.58,44.86,42.31,39.66,38.98
40.71,34.42,32.03,32.14,33.24,41.62,38.09,40.34,41.87,48.37,45.75,40.35,34.97,32.66,34.44,41.27,56.24,72.98,63.56,54.7,53.27,48.57,44.6,40.92,37.39,36.4,33.01,37.89,52.01,97.14,92.12,82.0,125.09,100.01,127.0,115.37,92.7,85.84,86.62,87.0,140.06,176.16,152.26,74.29,68.5,60.15,76.74,60.09,53.12,47.65,41.4,46.12,71.04,173.69,227.76,219.67,235.54,213.11,169.77,200.0,299.0,85.56,87.21,91.32,141.07,196.15,179.55,86.04,73.74,61.7,60.0,51.57,43.92,42.2,42.36,47.8,61.46,88.36,89.19,90.03,87.88,85.95,78.05,76.7,77.16,81.78,73.82,72.9,106.42,145.06,92.23,72.39,62.58,57.05,52.58,44.86,42.31,39.66,38.98,42.31
34.42,32.03,32.14,33.24,41.62,38.09,40.34,41.87,48.37,45.75,40.35,34.97,32.66,34.44,41.27,56.24,72.98,63.56,54.7,53.27,48.57,44.6,40.92,37.39,36.4,33.01,37.89,52.01,97.14,92.12,82.0,125.09,100.01,127.0,115.37,92.7,85.84,86.62,87.0,140.06,176.16,152.26,74.29,68.5,60.15,76.74,60.09,53.12,47.65,41.4,46.12,71.04,173.69,227.76,219.67,235.54,213.11,169.77,200.0,299.0,85.56,87.21,91.32,141.07,196.15,179.55,86.04,73.74,61.7,60.0,51.57,43.92,42.2,42.36,47.8,61.46,88.36,89.19,90.03,87.88,85.95,78.05,76.7,77.16,81.78,73.82,72.9,106.42,145.06,92.23,72.39,62.58,57.05,52.58,44.86,42.31,39.66,38.98,42.31,51.57
32.03,32.14,33.24,41.62,38.09,40.34,41.87,48.37,45.75,40.35,34.97,32.66,34.44,41.27,56.24,72.98,63.56,54.7,53.27,48.57,44.6,40.92,37.39,36.4,33.01,37.89,52.01,97.14,92.12,82.0,125.09,100.01,127.0,115.37,92.7,85.84,86.62,87.0,140.06,176.16,152.26,74.29,68.5,60.15,76.74,60.09,53.12,47.65,41.4,46.12,71.04,173.69,227.76,219.67,235.54,213.11,169.77,200.0,299.0,85.56,87.21,91.32,141.07,196.15,179.55,86.04,73.74,61.7,60.0,51.57,43.92,42.2,42.36,47.8,61.46,88.36,89.19,90.03,87.88,85.95,78.05,76.7,77.16,81.78,73.82,72.9,106.42,145.06,92.23,72.39,62.58,57.05,52.58,44.86,42.31,39.66,38.98,42.31,51.57,75.69
32.14,33.24,41.62,38.09,40.34,41.87,48.37,45.75,40.35,34.97,32.66,34.44,41.27,56.24,72.98,63.56,54.7,53.27,48.57,44.6,40.92,37.39,36.4,33.01,37.89,52.01,97.14,92.12,82.0,125.09,100.01,127.0,115.37,92.7,85.84,86.62,87.0,140.06,176.16,152.26,74.29,68.5,60.15,76.74,60.09,53.12,47.65,41.4,46.12,71.04,173.69,227.76,219.67,235.54,213.11,169.77,200.0,299.0,85.56,87.21,91.32,141.07,196.15,179.55,86.04,73.74,61.7,60.0,51.57,43.92,42.2,42.36,47.8,61.46,88.36,89.19,90.03,87.88,85.95,78.05,76.7,77.16,81.78,73.82,72.9,106.42,145.06,92.23,72.39,62.58,57.05,52.58,44.86,42.31,39.66,38.98,42.31,51.57,75.69,80.03
33.24,41.62,38.09,40.34,41.87,48.37,45.75,40.35,34.97,32.66,34.44,41.27,56.24,72.98,63.56,54.7,53.27,48.57,44.6,40.92,37.39,36.4,33.01,37.89,52.01,97.14,92.12,82.0,125.09,100.01,127.0,115.37,92.7,85.84,86.62,87.0,140.06,176.16,152.26,74.29,68.5,60.15,76.74,60.09,53.12,47.65,41.4,46.12,71.04,173.69,227.76,219.67,235.54,213.11,169.77,200.0,299.0,85.56,87.21,91.32,141.07,196.15,179.55,86.04,73.74,61.7,60.0,51.57,43.92,42.2,42.36,47.8,61.46,88.36,89.19,90.03,87.88,85.95,78.05,76.7,77.16,81.78,73.82,72.9,106.42,145.06,92.23,72.39,62.58,57.05,52.58,44.86,42.31,39.66,38.98,42.31,51.57,75.69,80.03,77.0
41.62,38.09,40.34,41.87,48.37,45.75,40.35,34.97,32.66,34.44,41.27,56.24,72.98,63.56,54.7,53.27,48.57,44.6,40.92,37.39,36.4,33.01,37.89,52.01,97.14,92.12,82.0,125.09,100.01,127.0,115.37,92.7,85.84,86.62,87.0,140.06,176.16,152.26,74.29,68.5,60.15,76.74,60.09,53.12,47.65,41.4,46.12,71.04,173.69,227.76,219.67,235.54,213.11,169.77,200.0,299.0,85.56,87.21,91.32,141.07,196.15,179.55,86.04,73.74,61.7,60.0,51.57,43.92,42.2,42.36,47.8,61.46,88.36,89.19,90.03,87.88,85.95,78.05,76.7,77.16,81.78,73.82,72.9,106.42,145.06,92.23,72.39,62.58,57.05,52.58,44.86,42.31,39.66,38.98,42.31,51.57,75.69,80.03,77.0,74.78
38.09,40.34,41.87,48.37,45.75,40.35,34.97,32.66,34.44,41.27,56.24,72.98,63.56,54.7,53.27,48.57,44.6,40.92,37.39,36.4,33.01,37.89,52.01,97.14,92.12,82.0,125.09,100.01,127.0,115.37,92.7,85.84,86.62,87.0,140.06,176.16,152.26,74.29,68.5,60.15,76.74,60.09,53.12,47.65,41.4,46.12,71.04,173.69,227.76,219.67,235.54,213.11,169.77,200.0,299.0,85.56,87.21,91.32,141.07,196.15,179.55,86.04,73.74,61.7,60.0,51.57,43.92,42.2,42.36,47.8,61.46,88.36,89.19,90.03,87.88,85.95,78.05,76.7,77.16,81.78,73.82,72.9,106.42,145.06,92.23,72.39,62.58,57.05,52.58,44.86,42.31,39.66,38.98,42.31,51.57,75.69,80.03,77.0,74.78,73.4
40.34,41.87,48.37,45.75,40.35,34.97,32.66,34.44,41.27,56.24,72.98,63.56,54.7,53.27,48.57,44.6,40.92,37.39,36.4,33.01,37.89,52.01,97.14,92.12,82.0,125.09,100.01,127.0,115.37,92.7,85.84,86.62,87.0,140.06,176.16,152.26,74.29,68.5,60.15,76.74,60.09,53.12,47.65,41.4,46.12,71.04,173.69,227.76,219.67,235.54,213.11,169.77,200.0,299.0,85.56,87.21,91.32,141.07,196.15,179.55,86.04,73.74,61.7,60.0,51.57,43.92,42.2,42.36,47.8,61.46,88.36,89.19,90.03,87.88,85.95,78.05,76.7,77.16,81.78,73.82,72.9,106.42,145.06,92.23,72.39,62.58,57.05,52.58,44.86,42.31,39.66,38.98,42.31,51.57,75.69,80.03,77.0,74.78,73.4,63.24
